ONTOLOGY	TERM	N	DE	P.DE	FDR	SigGenesInSet
BP	regulation of Golgi to plasma membrane protein transport	10	0	1	1	RSC1A1
BP	negative regulation of Golgi to plasma membrane protein transport	5	0	1	1	RSC1A1
BP	positive regulation of Golgi to plasma membrane protein transport	5	0	1	1	
BP	regulation of Golgi to plasma membrane CFTR protein transport	1	0	1.00000000002737	1	
BP	Golgi to plasma membrane CFTR protein transport	3	0	1	1	
BP	Golgi to plasma membrane protein transport	40	5	0.537474228773262	1	ARFRP1,ANK3,RSC1A1,GOLPH3,SPTBN1,RAB34,BLZF1
BP	negative regulation of Golgi to plasma membrane CFTR protein transport	1	0	1.00000000002737	1	
BP	cytoplasmic sequestering of CFTR protein	1	0	1.00000000002737	1	
CC	neuron projection	1370	176	0.216641875321369	1	MCRS1,BAIAP2,CIB1,TXNRD2,CETN1,CETN3,PLK2,PGRMC1,FAM107A,PTGDR2,STX1B,CHRM1,CHRM5,PHB2,SCRG1,TRIM9,CLCN2,CNGB1,CCSAP,CNTF,COMT,ADORA2A,PACRG,CRYAB,CSNK1D,DAB2IP,STOML3,DNAAF4,DDC,DLG4,DRP2,C9orf72,EPS8,HEPACAM,CPEB3,SHANK2,NCDN,CRB1,GRIP1,SNAPIN,BRD1,LAMP5,MTOR,GABRA5,GABRP,GABRR2,NGEF,GIGYF2,TIAM2,FBXO2,BLOC1S6,SACS,GDI1,GHRH,CYFIP2,INPP5J,CNTN6,GLUL,GNB1,GNG3,MCHR1,CCDC141,ANK3,ACAD9,GRIK5,GRM2,GRM6,PACSIN1,APBB2,DNAJB1,HTR1D,HTR1F,GLDN,APOD,APOE,INHA,INSR,INSRR,NDUFS7,KCNB1,KCNJ14,ARF4,KCNQ1,KIF5B,KISS1,BLOC1S3,STMN1,MAG,MPST,MT3,MYO1C,MYO7A,NEDD4,NF1,ATP1A3,ATP1A4,NGF,NGFR,NMB,CCN3,ATP2B1,NRTN,NTRK1,NTSR1,OPRD1,OPRL1,CLDN11,PRKN,ASAP1,GLRX2,PDC,PDE6A,PDE6G,PDE6H,PLS1,SLC38A2,EXOC6,PPEF2,ABITRAM,PPP1CA,PPP1CC,LYAR,IFT122,ADCY10,PCDHGB1,PRPH,PSEN1,PSEN2,CHRNA10,GJC2,SLC12A5,IGSF9,LRRC7,NLGN2,TSHZ3,KLHL1,PTPRN,NECTIN1,RAC3,PRPH2,ACTB,ELOVL5,BCR,SAG,CX3CL1,VPS16,PCDH15,SLC6A6,SLC8A1,SLC8A3,BMPR1A,SPTA1,SPTBN1,STAT1,STAU1,TH,CLDN5,CFAP410,SLC30A3,MAP3K12,CAD,MUL1,TTLL7,FZD3,PRR7,GDPD5,SHARPIN,MKKS,USP9X,ULK1,ELMOD3,PSD2,CASR,MYPN,DOCK7,PDLIM4,NPFF,SSNA1,MPDZ,RGS11,RGS9,IQGAP1,CDK5R1,SGCE,NAV1,DGKI,TAOK2,CPNE6,KIF3B,SYAP1,GABBR2,FEZ1,IFT140,ARHGAP32,SNPH
BP	maintenance of rDNA	2	0	0.999999999991542	1	
MF	ATP-dependent protein binding	9	2	0.311661689021413	1	PLK2,MYO9B
BP	chordate embryonic development	653	81	0.470030203925472	1	TRIM28,EMG1,AKAP3,SLC34A2,COL11A1,PNLDC1,DLX1,MEGF8,EGFR,EN1,FGF9,FGFR1,RTF1,FOLR1,FKBP8,FUT8,TTLL1,C2CD3,GATA1,GATA2,KAT2A,SLC25A34,CRB2,SETD2,ARHGAP35,HOXA3,HOXB1,HOXB3,HOXB4,HOXB7,HSD17B2,HYAL1,IGF2,KRT19,MMP16,MYH6,NBN,ATM,NF1,NODAL,NOS3,NPAT,FURIN,PAX2,PBX1,PCDH12,RTCB,MBD3,EGLN1,MKS1,IFT122,PRKDC,PSEN1,POGLUT1,SHROOM3,PTPRR,BCL2L1,RRM2,XYLT1,BMP4,BMPR1A,SOX10,SOX15,BRCA1,SRF,SUPT6H,TBX1,ZEB1,TCF15,BYSL,C5,C6,XRCC2,ZP3,TMEM231,CENPU,FZD3,HM13,CCM2,GCM1,NKD1,TCAP,CHRD,NCOA1,ACVR1B,CIR1,CELSR1,IFT140,KEAP1
BP	camera-type eye development	339	49	0.114017090636356	1	NR2E3,ANGPTL7,GDF11,TCIRG1,MAB21L2,KDM5B,C12orf57,CLCN2,CNTF,CRYAB,CRYBA1,CRYGC,DLX1,EGFR,OPN5,FGF2,FOXE3,OBSL1,CRB1,FKBP8,NECTIN3,GNB1,CRB2,HIPK2,ARHGAP35,GRM6,INHBA,NF1,ATP2B1,PAX2,IMPG2,PDE6A,PDGFRB,IFT122,LENEP,PSEN1,SLC4A5,NECTIN1,PRPH2,RORB,RPE65,RS1,BMP4,SRF,ZEB1,TH,THRB,WT1,BIRC7,TMEM231,WNT5B,IGFN1,IFT140
BP	myeloid dendritic cell differentiation	20	4	0.21368265600491	1	IRF4,ITGB6,PSEN1,RELB,DCSTAMP
BP	regulation of fusion of sperm to egg plasma membrane	1	0	1.00000000000345	1	
MF	alpha-tubulin binding	38	5	0.487604176655558	1	PACRG,SETD2,TTLL7,C9orf24,CDK5R1,DLEC1
MF	gamma-tubulin binding	33	3	0.773960945286721	1	TUBGCP2,TUBGCP4,NDN,FEZ1,CEP57
CC	NADPH oxidase complex	17	1	0.842332277875745	1	RAC3
MF	ribonucleoprotein complex binding	156	13	0.940394413955968	1	ETF1,CPEB3,PRPF6,MTOR,ERAL1,EIF6,LETM1,OXA1L,PPP1CA,SNRPA,SRP9,SRP68,SRP72,SRPRA,SECISBP2,NAA10,MRRF
MF	ribosome binding	70	8	0.571571182391519	1	ETF1,CPEB3,MTOR,EIF6,LETM1,OXA1L,SRP68,SRP72,NAA10
MF	ribosomal large subunit binding	14	1	0.83553788805229	1	EIF6,MRRF
MF	ribosomal small subunit binding	17	1	0.887840856231997	1	ERAL1
CC	neuronal cell body	496	76	0.0193754547337897	1	MCRS1,BAIAP2,CIB1,TXNRD2,PGRMC1,CLCN2,CCR4,ADORA2A,CRYAB,DAB2IP,DDC,AGRP,DRP2,C9orf72,SHANK2,NCDN,GRIP1,SEZ6L,BRD1,GABRA5,GIGYF2,TIAM2,GDI1,GHRH,GLUL,GRIK5,PYCARD,DNAJB1,APOD,APOE,INHA,INSR,NDUFS7,KCNB1,KCNJ14,KCNQ1,KISS1,NDN,ATP1A3,NGFR,CCN3,NPPA,ATP2B1,NTRK1,NTSR1,GLRX2,PMM2,SLC38A2,PPP1CA,ADCY10,PRPH,PSEN1,PSEN2,CHRNA10,GJC2,SLC12A5,KLHL1,PTPRN,RAC3,ELOVL5,S100A5,CX3CL1,VPS16,TMPRSS3,SLC6A6,SLC8A1,SLC8A3,BMPR1A,SPTBN2,STAU1,TH,CAD,MUL1,TTLL7,FZD3,FBXO31,PSD2,CASR,NPFF,CDK5R1,CPNE6,SYAP1,FEZ1
MF	cysteine-type endopeptidase inhibitor activity involved in apoptotic process	21	4	0.217213790061337	1	MT3,VIL1,BIRC7,TNFSF14
MF	cysteine-type endopeptidase regulator activity involved in apoptotic process	39	5	0.496025261527366	1	PYCARD,MT3,BAD,VIL1,BIRC7,TNFSF14
BP	T cell homeostasis	42	9	0.0502057836481925	1	TCIRG1,IL2,LGALS2,FOXP3,PMAIP1,IL20RB,BCL2,GPR174,TNFSF14
BP	regulation of macrophage activation	62	13	0.0179229304714927	1	NR1H3,TLR6,VSIG4,GRN,IL13,MYO18A,MMP8,ATM,RORA,CX3CL1,BPI,THBS1,IL1RL1,PJA2
BP	negative regulation of macrophage activation	19	5	0.0551608139665545	1	NR1H3,VSIG4,GRN,CX3CL1,BPI
BP	positive regulation of macrophage activation	30	5	0.218093898669133	1	TLR6,IL13,MMP8,THBS1,IL1RL1
CC	isoamylase complex	1	0	0.999999999968101	1	
CC	costamere	16	2	0.614900171216926	1	ANK3,KRT19
MF	chromatin insulator sequence binding	5	2	0.114443619980425	1	CTCFL,REPIN1
BP	amino acid activation	44	5	0.645448726926522	1	EARS2,LARS2,HARS2,PARS2,GATC,HARS1,TARS1,TARS2
BP	tRNA aminoacylation	43	5	0.624946853705478	1	EARS2,LARS2,HARS2,PARS2,GATC,HARS1,TARS1,TARS2
BP	amino acid activation for nonribosomal peptide biosynthetic process	1	0	1.0000000000418	1	
BP	peptide biosynthetic process	780	67	0.991909620113465	1	TSFM,TRAP1,MRPL28,KHDRBS1,EARS2,MRPL55,PNLDC1,DPH1,ERBB2,ETF1,CPEB3,EXOSC7,FOXO3,METAP1,LARP4B,PUM2,LARS2,HARS2,RPL13A,MTOR,GAPDH,PARS2,GIGYF2,MTG2,GGT1,PABPC1,GATC,DPH3,GRB7,MRPL42,MRPL22,HARS1,AIRE,EIF6,LGALS4,MLH1,MSI1,RPL10A,FURIN,MRPS18C,ZNF706,POLR2G,PPP1CA,MRPS18A,PRKDC,BDH2,CNOT6,RPL6,RPL12,RPL18,MRPL12,RPS11,RPS14,RPS21,MRPS14,NOD2,SHMT1,SRP9,ZFP36L2,TARBP2,TARS1,THBS1,ZFP36,MRPL57,SECISBP2,CHAC1,METTL8,TARS2,UQCC2,MRPL43,ELP1,TNKS1BP1,EIF4EBP3,EIF3B,EIF4G3,MRRF,CNOT8,RPL23,MTRF1,CTIF
BP	DNA methylation involved in embryo development	10	1	0.723051393316982	1	TRIM28
BP	DNA methylation involved in gamete generation	20	4	0.223837976726982	1	TDRD9,ASZ1,CTCFL,MOV10L1
MF	single-stranded telomeric DNA binding	12	1	0.789073092515321	1	NABP2
BP	dolichyl monophosphate biosynthetic process	1	0	1.00000000001377	1	
BP	otic placode formation	1	0	1.00000000000383	1	
BP	thermotaxis	2	0	0.999999999987878	1	
BP	meiotic metaphase I plate congression	1	0	0.999999999972626	1	MLH1
BP	extracellular structure organization	315	48	0.0450176177364863	1	ANGPTL7,FBLN5,ADAMTS6,COL9A2,COL9A3,COL11A1,COL15A1,CPB2,CTSG,CTSK,DMP1,DPT,ECM2,ENG,FAP,FBLN2,CLASP2,OPTC,VPS33B,GFAP,EFEMP2,LAMB3,LOX,MATN1,MMP1,MMP3,MMP8,MMP13,MMP16,MMP19,NF1,DDR2,FURIN,IMPG2,SERPINB5,ADAMTSL4,SMPD3,MMP27,TCF15,TGFBI,VTN,WT1,THSD4,KAZALD1,MIA,RECK,ADTRP,MATN4,PHLDB2,ADAMTS4
BP	intercellular bridge organization	1	0	1.0000000000197	1	
BP	positive regulation of apoptotic process	531	54	0.851169887019381	1	CDKN2A,CAPN10,PNMA5,ADORA2A,NACC2,CRYBA1,DAB2IP,DEDD2,ACE,ANO6,FAP,RRP1B,FOXO3,SIRT1,PHLDA3,CLIP3,GPLD1,GRN,GRIK5,PYCARD,GSN,OSGIN1,IL19,ANXA1,IGFBP3,INHBA,LEP,LGALS2,LTK,MAP3K5,MNDA,ATM,NF1,NFATC4,NGFR,NTSR1,PDGFRB,STYXL1,PIK3CB,PMAIP1,ADAMTSL4,PPP1CA,ADCY10,PRKDC,MAPK9,PSEN1,SPHK2,PRDM11,BAD,S100A9,CCL2,SFRP4,BMP4,THBS1,TIMP3,PRR7,NCOA1,TNFSF12,CDK5R1,SQSTM1,BCLAF1
BP	negative regulation of apoptotic process	895	114	0.153258422688791	1	PPIF,HIPK3,TRAP1,PSME3,PAK4,CDKN2D,SYCP2,CEACAM5,CIB1,LAMTOR5,PLK2,PHB2,CNTF,ADORA2A,CRYAB,CSF1R,SH3RF2,DLX1,EGFR,EN1,DIPK2A,ALB,FABP1,FGB,ATF5,FOXE3,FLT4,SIRT1,NUP62,FKBP8,ALOX12,MTOR,GABRA5,GATA1,GATA2,SFN,GRN,HIPK2,IL19,SLC40A1,ANXA1,ANXA4,APOE,APOH,IL2,IL13,ING2,INS,ITGAV,ARF4,LEP,MYO18A,LTK,MIR17HG,MAG,MGMT,MT3,NFATC4,NGF,NOS3,NTRK1,DDR2,NTSR1,OGG1,PRKN,PAX2,PCDHGC3,TXNDC12,NDUFA13,TRIAP1,PDGFRB,PIK3CB,WNT4,POR,PHIP,AXL,PRKCH,PRKCQ,PRKDC,PCDHGC5,PCDHGC4,PRLR,LGMN,PSEN1,PSEN2,PSMG2,AVEN,BAG1,CCND1,BCL2,BCL2L1,BDKRB2,CCL2,CCL19,CX3CL1,GOLPH3,NOD2,SET,MLST8,BMP4,SOX10,BRCA1,SUPV3L1,BTC,TBX1,TDGF1,THBS1,TYRO3,VIL1,WT1,XRCC2,MAP3K12,BIRC7,FZD3,LHX3,DOCK8,CAPN3,NAA38,PIK3R3,TNFSF14,TNFRSF10D,SOCS2,HDAC3,CCND2,TNFSF18,RGN,IL27RA,PAGE4,BABAM2,CD44
BP	regulation of programmed cell death	1508	174	0.519696750121221	1	PPIF,HIPK3,TRAP1,PSME3,CDKN2A,PAK4,CDKN2D,SYCP2,CEACAM5,CIB1,LAMTOR5,PLK2,MORF4L1,CAPN10,PHB2,PNMA5,CNTF,ADORA2A,NACC2,CRYAB,CRYBA1,CSF1R,DAB2IP,SH3RF2,DEDD2,ACE,RASSF6,DLX1,EGFR,ANO6,EN1,DIPK2A,ALB,FABP1,FAP,FGB,FGF2,FGFR1,ATF5,FOXE3,RRP1B,FOXO3,FLT4,TRIM2,SIRT1,PHLDA3,NUP62,FKBP8,ALK,ALOX12,MTOR,GABRA5,KANK2,CLIP3,GATA1,GATA2,CIDEB,SFN,GPLD1,GRN,HIPK2,GRIK5,PYCARD,GSN,CARD10,OSGIN1,IL19,SLC40A1,ANXA1,ANXA4,APOE,IGFBP3,APOH,IL2,IL13,ING2,INHBA,INS,ITGAV,KCNB1,ARF4,LEP,LGALS2,MYO18A,LOX,LTK,MIR17HG,MAG,MAP3K5,MGMT,MNDA,MT3,ATM,NF1,NFATC4,NGF,NGFR,NOS3,NTRK1,DDR2,NTSR1,OGG1,PRKN,PAX2,PCDHGC3,TXNDC12,NDUFA13,TRIAP1,PDGFRB,STYXL1,PIK3CB,PMAIP1,WNT4,POR,ADAMTSL4,PPP1CA,PHIP,AXL,ADCY10,PRKCH,PRKCQ,PRKDC,MAPK9,PCDHGC5,PCDHGC4,PRLR,LGMN,PSEN1,PSEN2,SPHK2,PRDM11,PSMG2,PSMC5,AVEN,BAD,BAG1,CCND1,BCL2,BCL2L1,ACTB,BDKRB2,RTKN,S100A9,CCL2,CCL19,CX3CL1,GOLPH3,NOD2,SET,MLST8,SFRP4,BMP4,SOX10,BRCA1,STAT1,SUPV3L1,BTC,TBX1,VPS72,TDGF1,THBS1,TIMP3,TRAF1,TYRO3,VIL1,WT1,XRCC2,ZFP36,MAP3K12,BIRC7,FZD3,LHX3,PRR7,ANP32A,ANKRD13C,DOCK8,CAPN3,NAA38,PIK3R3,NCOA1,TNFSF14,TNFSF12,TNFRSF10D,SOCS2,HDAC3,CDK5R1,SQSTM1,NAE1,ACTN3,CCND2,TNFSF18,RGN,IL27RA,PAGE4,BABAM2,CD44,BCLAF1
BP	positive regulation of programmed cell death	546	55	0.868164620984849	1	CDKN2A,CAPN10,PNMA5,ADORA2A,NACC2,CRYBA1,DAB2IP,DEDD2,ACE,ANO6,FAP,RRP1B,FOXO3,SIRT1,PHLDA3,CLIP3,GPLD1,GRN,GRIK5,PYCARD,GSN,OSGIN1,IL19,ANXA1,IGFBP3,INHBA,LEP,LGALS2,LTK,MAP3K5,MNDA,ATM,NF1,NFATC4,NGFR,NTRK1,NTSR1,PDGFRB,STYXL1,PIK3CB,PMAIP1,ADAMTSL4,PPP1CA,ADCY10,PRKDC,MAPK9,PSEN1,SPHK2,PRDM11,BAD,S100A9,CCL2,SFRP4,BMP4,THBS1,TIMP3,PRR7,NCOA1,TNFSF12,CDK5R1,SQSTM1,BCLAF1
BP	negative regulation of programmed cell death	919	115	0.196541352332408	1	PPIF,HIPK3,TRAP1,PSME3,PAK4,CDKN2D,SYCP2,CEACAM5,CIB1,LAMTOR5,PLK2,PHB2,CNTF,ADORA2A,CRYAB,CSF1R,SH3RF2,DLX1,EGFR,EN1,DIPK2A,ALB,FABP1,FGB,ATF5,FOXE3,FLT4,SIRT1,NUP62,FKBP8,ALOX12,MTOR,GABRA5,KANK2,GATA1,GATA2,SFN,GRN,HIPK2,IL19,SLC40A1,ANXA1,ANXA4,APOE,APOH,IL2,IL13,ING2,INS,ITGAV,ARF4,LEP,MYO18A,LTK,MIR17HG,MAG,MGMT,MT3,NFATC4,NGF,NOS3,NTRK1,DDR2,NTSR1,OGG1,PRKN,PAX2,PCDHGC3,TXNDC12,NDUFA13,TRIAP1,PDGFRB,PIK3CB,WNT4,POR,PHIP,AXL,PRKCH,PRKCQ,PRKDC,PCDHGC5,PCDHGC4,PRLR,LGMN,PSEN1,PSEN2,PSMG2,PSMC5,AVEN,BAG1,CCND1,BCL2,BCL2L1,BDKRB2,CCL2,CCL19,CX3CL1,GOLPH3,NOD2,SET,MLST8,BMP4,SOX10,BRCA1,SUPV3L1,BTC,TBX1,TDGF1,THBS1,TYRO3,VIL1,WT1,XRCC2,MAP3K12,BIRC7,FZD3,LHX3,DOCK8,CAPN3,NAA38,PIK3R3,TNFSF14,TNFRSF10D,SOCS2,HDAC3,CCND2,TNFSF18,RGN,IL27RA,PAGE4,BABAM2,CD44
CC	germ cell nucleus	66	8	0.523232495931584	1	CDK2,ACTL7A,H2AC1,H2BC1,AIRE,MLH1,SLC2A1,BRCA1,TNP1,ZMYND15
CC	megasporocyte nucleus	2	0	0.999999999994616	1	
CC	synaptic cleft	18	1	0.907692878693608	1	APOE
BP	penile erection	11	0	1	1	
BP	positive regulation of catalytic activity	1171	154	0.0844348021558131	1	NR1H3,PSME3,TLR6,CIB1,GNB5,MAPRE2,ADRM1,TBC1D8,PHB2,ADORA2B,NEK7,CSF1R,IL34,MOB3C,DTX3L,NEK10,DAB2IP,ADRB3,ACE,DLG4,EGFR,C9orf72,DIPK2A,ERBB2,ERCC6,FABP1,CCNY,FGF1,FGF2,FGFR1,FGFR3,FOXJ1,TBC1D9B,RGL1,TBC1D1,FLT4,SIRT1,ARHGAP45,MMD,PIK3R5,SH3BP1,ALK,MTOR,NGEF,TIAM2,CYFIP2,CIDEB,GPLD1,GRN,ARHGAP35,PYCARD,UHRF1,GSN,CARD10,APOA1,APOE,IGF2,APOH,IL2,INS,INSR,INSRR,TBC1D10C,SVBP,ARF4,LEP,LTK,MAP3K5,MST1R,MT3,MTCP1,NBN,NF1,NGFR,NODAL,NOS3,NTRK1,DDR2,P2RY6,P2RY11,ASAP1,NDUFA13,TBC1D7,PRKAG2,PDGFRB,GPRC5B,CAB39,PIK3CB,PLA2G5,PMAIP1,PNLIP,WNT4,POR,CHTF8,ODAM,RALGPS2,CCDC88A,AXL,PSENEN,PRKCQ,PRLR,LGMN,PSEN1,PSEN2,RGL3,RALGAPB,BAD,PSME1,CEMIP,DOCK6,PREX1,TRIB3,MAP4K2,CCND1,BCL2,RGS10,ROS1,BCR,S100A1,S100A9,CCL2,CCL7,CCL17,CCL19,CCL20,CCL25,CX3CL1,SELE,SEMG1,SEMG2,NOD2,SETMAR,MLST8,ACD,BMPR1A,STK11,BTC,TDGF1,THBS1,TYRO3,VEGFC,YWHAB,MAP3K12,MUL1,MOB3B,NHEJ1,CALM2,PRR7,PABPN1,DOCK8,GARNL3,PSRC1,DOCK7,TNFSF11,RGS11,RGS9,IQGAP1,CDK5R1,CCND2,RGN,ITGB1BP1,TAOK2,FTMT,SYAP1,ST18,USP6NL,TBC1D5,EPM2AIP1,TBC1D4,TNFSF15,CCS
BP	negative regulation of catalytic activity	791	118	0.000802665291614832	0.375827546643247	HIPK3,CDKN2A,CDKN2B,CDKN2D,ADARB1,CIB1,IPO7,LAMTOR5,HEXIM1,ARPP19,SOCS4,COL6A3,ADORA2A,WFDC3,CRYAB,A2ML1,SERPINA12,CSTB,WFDC5,DTX3L,DAB2IP,SH3RF2,DUSP7,ECM1,A2M,FABP1,PPP1R35,RRP1B,SIRT1,CBLC,NUP62,GAPDH,SPINK4,ANGPTL3,SFN,CRB2,GPS2,PYCARD,GRM2,ANXA1,SERPIND1,ANXA4,APOA1,APOC3,APOE,IL13,INS,ITIH1,ITIH4,LCN1,RHOH,MEN1,MLLT1,MT3,NF1,NGF,NOS3,NPPA,DDR2,OXA1L,FURIN,PRKN,PAX2,SERPINA5,PDC,PPME1,PRKAG2,PDE6G,PDE6H,TRIAP1,STYXL1,SERPINB5,PIK3CB,PLXNB3,P2RY13,POR,UGT1A8,UGT1A7,EGLN1,PPP1R12C,DUS2,PPP1R8,PRKAR1A,PRKAR2A,LTB4R2,PSEN1,SPHK2,PTK6,TRIB3,PTPRH,OPRPN,MYOZ1,PZP,RENBP,RTKN,SORT1,SAG,SET,BMP4,SLC4A1,SLC8A1,SLC8A3,SPINK1,TARBP2,TESK1,TFPI,THBS1,TIMP3,SERPING1,C3,C5,VIL1,VTN,YWHAB,ZFP36,BIRC7,PDZD3,SPRY4,MKKS,PARP9,RECK,ZGPAT,SPINK7,SERPINB7,TNFSF14,IQGAP1,SERPINB12,RGN,ITGB1BP1,RPL23,ACP4,PPP1R14A,GABBR2,CD44,RUBCN
BP	regulation of GTPase activity	371	52	0.101847344585314	1	GNB5,MAPRE2,TBC1D8,DAB2IP,C9orf72,ERBB2,FGD1,FOXJ1,TBC1D9B,RRP1B,RGL1,TBC1D1,ARHGAP45,SH3BP1,MTOR,NGEF,TIAM2,ARHGAP35,PYCARD,TBC1D10C,STMN1,NF1,NTRK1,ASAP1,TBC1D7,PLXNB3,WNT4,ODAM,RALGPS2,PRKG1,RGL3,RALGAPB,DOCK6,PREX1,RGS10,BCR,CCL2,CCL7,CCL17,CCL19,CCL20,CCL25,CX3CL1,MLST8,TRAPPC6A,DOCK8,MKKS,GARNL3,DOCK7,RGS11,RGS9,IQGAP1,RGN,PLXNA4,ITGB1BP1,USP6NL,TBC1D5,TBC1D4
BP	amino acid import	2	1	0.23623257796068	1	SLC38A2
BP	cellular metabolic compound salvage	30	1	0.978945569249013	1	AMPD3
BP	regulation of GTP cyclohydrolase I activity	1	0	1.00000000005096	1	
BP	purine nucleobase salvage	3	0	1	1	
BP	pyrimidine nucleoside salvage	2	0	1.00000000001183	1	
BP	purine-containing compound salvage	14	1	0.82888607600015	1	AMPD3
BP	amino acid salvage	7	0	1	1	
BP	hypoxanthine salvage	2	0	0.999999999946615	1	
BP	negative regulation of GTP cyclohydrolase I activity	1	0	1.00000000005096	1	
BP	replication fork arrest	3	1	0.319274173410451	1	SLFN11
BP	receptor metabolic process	61	9	0.309324051371154	1	DTX3L,FUT8,APOE,NEDD4,FURIN,CHMP5,RNF43,LAMTOR1,LGMN,PSEN1,CAPN1
BP	receptor clustering	57	8	0.395780228707501	1	DLG4,GRIK5,GSN,APOE,PIGR,LRRC7,NLGN2,TNFAIP6,SSNA1,ITGB1BP1
BP	regulation of vascular permeability	49	10	0.0667344909886816	1	ADORA2A,DDAH1,GPR4,ARHGAP35,APOE,NPPB,BCR,BDKRB2,TACR2,CLDN5
BP	negative regulation of vascular permeability	18	4	0.151076158242052	1	ADORA2A,DDAH1,ARHGAP35,CLDN5
BP	positive regulation of vascular permeability	18	2	0.674062921425856	1	APOE,TACR2
MF	tumor necrosis factor binding	5	1	0.486148643464121	1	A2M
MF	neurotrophin binding	10	4	0.0285307517840825	1	A2M,NGFR,NTRK1,FURIN,SORT1
BP	regulation of I-kappaB kinase/NF-kappaB signaling	255	28	0.681399819318573	1	TLR6,LAMTOR5,PLK2,TICAM1,DAB2IP,ECM1,SIRT1,NUP62,GAPDH,PYCARD,RHOH,PRKN,GPRC5B,CC2D1A,PPM1A,SPHK2,RORA,S100A13,CCL19,CX3CL1,NOD2,SLC20A1,STAT1,TRAF1,MUL1,TNIP3,SHARPIN,CAPN3,WDR83,TRIM52,TNFSF11,SQSTM1,TRIM14
BP	positive regulation of I-kappaB kinase/NF-kappaB signaling	189	17	0.915829351803252	1	TLR6,LAMTOR5,PLK2,TICAM1,ECM1,NUP62,GAPDH,PRKN,GPRC5B,CC2D1A,PPM1A,S100A13,CCL19,CX3CL1,NOD2,SLC20A1,MUL1,SHARPIN,TRIM52,TNFSF11,TRIM14
BP	negative regulation of I-kappaB kinase/NF-kappaB signaling	51	8	0.21096454806027	1	DAB2IP,SIRT1,PYCARD,RHOH,PPM1A,RORA,STAT1,TNIP3
MF	ErbB-3 class receptor binding	5	0	1	1	ERBB2
BP	regulation of 1-phosphatidylinositol 4-kinase activity	1	0	0.999999999999295	1	
BP	positive regulation of 1-phosphatidylinositol 4-kinase activity	1	0	0.999999999999295	1	
BP	surfactant homeostasis	15	1	0.855036883170412	1	ITGB6
MF	ubiquitin binding	96	8	0.907919452721473	1	ADRM1,RNF19B,NUP62,NEDD4,PRKN,AUP1,OTUB1,UBXN8,SHARPIN,DDI2,SQSTM1
BP	erythrocyte enucleation	1	0	1.00000000002871	1	
BP	NAD transport	5	0	1	1	
BP	hindgut contraction	2	0	1.00000000002349	1	
BP	regulation of hindgut contraction	2	0	1.00000000002349	1	
MF	glycerol-3-phosphatase activity	2	0	0.999999999988079	1	
BP	DNA replication, removal of RNA primer	4	0	1	1	
MF	3'-5' DNA helicase activity	14	2	0.521991610602136	1	HELQ,FANCM,NAV2,RECQL5
MF	5'-3' DNA helicase activity	8	0	1	1	TWNK
BP	regulation of translation by machinery localization	1	0	1.00000000000115	1	
BP	sno(s)RNA processing	14	1	0.811172910818819	1	EXOSC10,RNF113A
BP	stress fiber assembly	108	14	0.437283817201614	1	SORBS1,CLASP2,MTOR,APOA1,STMN1,TACSTD2,WNT4,CCDC88A,SRF,TESK1,TPM1,MKKS,CGNL1,PHLDB2,ITGB1BP1
BP	induction of bacterial agglutination	6	1	0.451887525293506	1	FGB
BP	entrainment of circadian clock by photoperiod	29	3	0.707085657086812	1	OPN5,PPP1CA,PPP1CC,BHLHE40
BP	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	77	14	0.0571919002579271	1	CDKN2D,LAMTOR5,ADORA2A,CRYAB,FABP1,SFN,MT3,PAX2,TRIAP1,POR,THBS1,VIL1,BIRC7,TNFSF14,CD44
BP	response to cation stress	1	0	1.00000000002024	1	
CC	acrosomal matrix	4	0	1	1	
CC	acrosomal lumen	1	0	1.00000000001176	1	
BP	proteasome-mediated ubiquitin-dependent protein catabolic process	448	50	0.758548704113698	1	HUWE1,CDK2,ADRM1,TRIM9,KLHDC3,ANKRD9,SOCS4,RNF19B,UBR3,CSNK1D,SH3RF2,UBR1,DNAJC18,FHIT,HECW1,UBXN4,UBR2,TRIM2,SIRT1,ARIH1,ANAPC13,FBXO2,FBXL4,ANAPC2,ANAPC4,BMAL1,NEDD4,PRKN,CRBN,DTL,AUP1,CHFR,MAPK9,PSEN1,PSMA7,UBQLN4,PSMC5,PSMD2,TRIB3,ELOB,USP7,FBXO31,UBXN8,FOXRED2,CUL5,FBXO38,SHARPIN,USP9X,SPOP,KBTBD7,KLHL22,ZNRF1,ZFAND2A,FBXO44,CLOCK,RNF14,KEAP1
BP	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	36	2	0.937141118065578	1	CHMP4A,NEDD4,CHMP5,VPS37B
BP	cell envelope organization	3	0	1	1	
